Player ID,Game Session ID,Score,Items Collected,Enemies Defeated,Timestamp
349-67-5365,618-99-5780,97,44,65,2023-09-28 06:16:23
899-69-2091,597-23-8473,10,23,18,2023-10-02 23:36:59
090-35-0202,844-89-9153,1,45,55,2023-10-03 08:00:17
186-63-2420,266-28-0784,36,11,6,2023-09-25 11:27:59
646-66-1612,267-73-0243,90,25,62,2023-09-24 07:52:18
746-32-6982,122-38-5150,-95,25,35,2023-09-28 19:58:41
682-21-6616,138-65-2591,36,43,26,2023-09-30 13:22:35
242-34-2506,754-45-7784,88,48,36,2023-09-26 10:41:15
,585-36-1194,46,22,16,2023-09-25 15:49:41
273-05-2772,778-85-4003,19,36,88,2023-09-27 08:15:34
237-55-4117,580-38-8980,0,17,31,2023-10-01 05:46:00
066-61-7374,002-12-7295,58,6,26,2023-09-27 03:15:53
536-42-3126,277-72-6535,10,94,90,2023-09-28 10:19:44
495-05-8359,033-26-1866,82,45,3,2023-10-01 23:30:53
859-93-5977,128-83-1698,15,38,63,2023-09-30 23:01:07
090-92-8121,292-87-1514,57,42,26,2023-09-29 13:05:47
679-80-0152,046-90-8586,-67,43,26,2023-10-01 12:01:47
806-94-1317,335-15-0112,57,15,39,2023-09-27 12:15:13
038-89-1524,324-16-0909,-4,42,21,2023-10-01 11:46:56
283-32-1261,441-28-3071,79,41,4,2023-09-28 13:32:08
027-70-7759,356-31-5785,-20,31,84,2023-09-30 00:10:14
777-39-2248,118-44-8986,12,11,57,2023-10-02 20:32:04
335-31-8691,710-57-8366,97,52,68,2023-09-29 09:37:46
590-40-7192,410-53-2295,34,29,46,2023-09-24 01:35:01
240-63-9263,051-46-4113,86,0,26,2023-09-26 04:08:23
445-65-4618,243-74-4767,96,30,71,2023-09-29 08:12:21
604-10-7197,422-55-4946,-6,27,58,2023-09-27 05:42:34
712-02-0045,837-32-8118,58,6,68,2023-09-30 11:10:51
204-55-3273,404-15-3408,47,38,5,2023-09-25 06:45:04
811-26-2008,360-76-0389,55,23,87,2023-10-01 08:42:56
729-88-2439,498-04-5003,28,52,57,2023-09-25 06:25:01
748-33-6032,439-22-0621,21,59,44,2023-09-26 16:39:51
,527-60-0998,41,72,63,2023-09-23 14:10:52
014-03-6154,373-64-3334,-27,10,88,2023-09-24 10:03:56
,097-33-8421,59,38,44,2023-09-29 22:07:23
224-32-9962,265-79-6155,55,57,78,2023-10-02 21:20:27
329-71-7516,198-12-8300,72,4,66,2023-09-24 09:53:50
621-81-6640,028-42-6408,16,49,62,2023-09-27 01:29:59
802-36-4799,365-58-2192,45,26,65,2023-09-25 07:41:07
819-40-8309,891-24-2022,47,32,87,2023-09-30 17:04:52
002-59-2183,400-95-0572,92,23,38,2023-09-27 09:00:48
249-17-4712,880-23-9283,93,5,8,2023-09-29 04:51:30
125-47-6294,668-95-8448,66,47,83,2023-09-26 02:01:19
,786-92-0071,53,27,91,2023-09-26 03:40:47
253-15-3487,213-80-4478,45,31,1,2023-09-27 10:07:47
899-95-5349,190-69-2220,4,1,32,2023-09-24 16:49:42
489-48-4356,180-50-6522,95,37,31,2023-09-29 01:50:40
825-61-2498,276-52-8995,38,17,86,2023-10-03 03:08:48
745-88-8747,605-42-8556,17,20,9,2023-09-28 16:08:35
591-28-3612,102-17-2052,56,10,64,2023-09-29 06:23:04
099-11-1420,146-56-6866,79,0,98,2023-09-23 14:10:41
235-90-5577,785-23-6724,12,37,98,2023-10-03 07:47:21
730-65-2546,264-37-4771,-2,13,15,2023-09-24 02:03:54
382-04-3559,551-07-5788,69,57,45,2023-09-30 10:46:56
726-32-8304,892-72-3820,13,25,61,2023-09-26 08:22:19
392-45-1912,309-09-5130,39,11,93,2023-09-30 05:15:22
689-24-7981,193-20-1103,26,12,65,2023-10-01 06:59:35
,279-28-9485,88,36,50,2023-10-03 00:28:24
034-11-9601,424-48-5457,80,32,54,2023-09-23 16:25:15
385-64-4084,661-05-0107,41,40,75,2023-09-25 05:43:03
226-99-2377,438-44-5282,82,48,75,2023-09-24 08:55:01
105-12-7813,224-44-6936,80,32,12,2023-09-24 16:40:27
185-57-4110,049-73-3763,11,41,79,2023-10-01 23:47:52
081-65-7828,603-64-3730,32,23,3,2023-09-26 19:58:16
795-44-0254,373-64-6126,29,4,64,2023-09-30 18:15:22
531-56-6269,251-48-3520,11,19,31,2023-09-24 00:44:38
566-82-6563,641-16-3856,-84,16,77,2023-09-24 23:03:15
004-17-2258,387-14-8533,84,16,60,2023-09-28 20:21:36
123-62-3681,512-18-1863,58,2,32,2023-09-25 08:21:36
899-72-6424,421-32-7457,20,8,58,2023-09-30 23:17:28
616-02-9208,630-22-9481,29,41,96,2023-09-26 07:49:12
015-98-4534,005-18-2376,42,91,77,2023-09-24 21:41:26
259-87-2794,050-46-8290,86,50,26,2023-09-27 01:18:22
243-83-8975,168-69-4271,47,41,77,2023-10-01 09:08:20
366-95-4867,622-56-5155,2,12,15,2023-10-01 03:21:00
003-26-5217,095-73-2002,93,27,4,2023-09-24 04:12:14
,361-86-8834,84,46,2,2023-09-25 00:09:07
012-24-3128,261-65-4164,-36,21,2,2023-10-01 03:14:18
,834-64-4505,-28,40,77,2023-09-26 23:03:29
820-34-0823,119-81-5955,59,26,77,2023-09-27 23:41:46
716-38-0001,477-14-0976,71,36,79,2023-10-02 03:27:32
540-20-3285,865-93-3800,93,30,5,2023-09-25 01:58:17
707-85-9088,284-66-6322,48,30,12,2023-09-27 17:03:42
861-44-4703,673-61-2185,33,4,50,2023-09-26 07:57:21
350-99-6138,518-88-1030,8,17,57,2023-09-28 08:18:28
122-46-6616,693-52-5000,4,72,50,2023-09-27 03:24:56
885-71-4013,304-12-9276,68,12,38,2023-09-30 08:33:34
,425-94-6987,65,31,31,2023-09-26 22:10:44
,375-09-0682,62,22,30,2023-09-24 00:31:30
690-31-0300,556-89-6387,11,8,86,2023-09-27 02:59:03
697-67-9188,636-39-4460,41,9,70,2023-09-25 21:27:48
556-99-4034,498-43-1911,66,6,90,2023-10-02 02:31:53
155-28-9847,686-46-8818,93,16,24,2023-09-27 07:16:23
258-68-3847,285-37-0320,96,35,91,2023-09-30 01:02:25
438-83-0518,432-47-0508,28,6,99,2023-10-02 05:40:21
244-27-5702,690-05-7712,84,14,38,2023-10-02 07:52:53
108-95-3340,051-68-4495,89,15,51,2023-10-01 06:07:12
522-91-1278,008-70-3482,38,38,44,2023-09-30 19:07:05
355-86-8447,529-15-1158,6,28,31,2023-09-24 09:30:22
066-25-5023,330-56-4319,82,21,7,2023-09-25 18:14:19
695-29-4300,273-15-1547,80,10,70,2023-09-23 20:51:57
738-39-1522,844-97-2809,27,79,88,2023-10-01 10:18:30
795-43-0928,462-71-2162,98,15,99,2023-09-29 07:06:35
,270-06-5595,43,64,86,2023-09-25 20:21:26
651-89-0920,210-74-5245,12,17,13,2023-10-01 02:06:42
537-62-4135,182-65-0770,0,55,9,2023-09-25 02:14:55
862-49-9072,567-75-8960,4,82,20,2023-09-29 18:26:57
572-75-6848,216-77-5077,58,31,57,2023-09-28 16:09:18
561-46-6680,502-17-8406,3,11,54,2023-09-30 23:25:09
209-62-5821,550-92-6372,64,81,5,2023-09-29 09:33:46
797-71-9600,313-79-0111,0,26,58,2023-09-25 01:05:01
462-94-8684,457-92-2465,18,25,79,2023-10-02 21:19:41
741-01-3524,566-66-6862,69,54,32,2023-09-28 13:57:51
296-58-5805,320-66-7343,-70,48,77,2023-09-26 05:43:42
,378-94-0817,88,2,14,2023-09-26 07:46:13
288-39-4208,196-25-8911,75,70,75,2023-10-02 19:50:27
838-87-8152,028-36-3835,95,90,58,2023-10-01 00:19:11
507-11-4865,444-52-9432,43,4,81,2023-09-24 06:04:22
832-15-9147,556-59-0251,4,48,28,2023-09-30 11:07:47
,396-77-2697,52,16,88,2023-10-01 08:02:28
193-15-8982,884-34-2761,10,30,75,2023-09-27 08:28:06
824-17-8553,241-83-8811,-5,94,72,2023-09-24 19:09:53
353-08-1991,344-36-0179,16,46,72,2023-09-24 11:36:22
308-45-1025,215-60-6565,12,34,76,2023-09-26 03:37:06
051-64-1177,623-31-4000,61,29,99,2023-10-01 21:49:30
754-94-4984,772-29-0306,40,38,60,2023-09-30 02:42:02
613-63-7997,036-28-7086,31,18,63,2023-09-26 14:49:58
528-79-3898,343-54-0780,78,73,25,2023-09-25 07:11:42
678-52-1660,700-16-9668,61,64,1,2023-10-03 02:56:16
224-45-7973,291-54-0636,40,48,42,2023-09-24 11:14:50
139-53-8552,407-86-6835,47,49,65,2023-10-01 10:18:50
442-40-1642,334-50-9508,81,36,17,2023-09-30 16:15:11
702-04-2308,342-48-7985,15,36,89,2023-09-28 06:45:27
,009-02-5037,-65,31,12,2023-09-30 13:17:20
856-08-8090,617-93-8037,-6,8,27,2023-09-27 20:46:21
850-08-9488,335-58-2856,57,30,80,2023-09-27 03:49:09
010-04-9388,516-01-1783,70,9,31,2023-09-24 06:15:49
128-79-6550,857-27-8854,71,42,25,2023-09-29 06:50:13
022-84-6590,175-62-3303,32,7,30,2023-09-30 13:35:04
,560-20-0588,4,47,61,2023-10-01 06:39:56
463-80-6244,642-27-6946,35,39,21,2023-09-25 08:59:00
072-08-0684,718-95-2812,47,0,46,2023-10-02 01:17:48
,337-54-2082,35,20,85,2023-10-01 02:44:05
118-33-8394,599-81-0077,42,65,74,2023-09-25 07:32:31
195-20-7967,091-48-7135,79,6,71,2023-10-02 20:06:24
704-34-8067,382-25-5230,25,25,2,2023-09-30 03:58:15
477-09-1111,032-58-0396,58,7,45,2023-09-27 10:36:15
127-25-3633,210-04-6293,59,48,35,2023-10-01 08:37:56
,326-63-9772,97,20,97,2023-10-02 20:46:08
869-15-7653,038-43-5029,77,39,50,2023-09-28 23:25:58
375-43-2419,791-18-0754,19,4,66,2023-09-28 09:52:00
555-93-8717,433-57-9126,69,77,41,2023-09-28 20:26:10
898-85-8725,176-30-8518,3,13,41,2023-09-27 08:53:44
,796-97-2803,15,3,12,2023-10-03 04:54:44
840-97-5876,491-52-0300,14,28,54,2023-09-23 20:14:53
394-70-7742,530-15-0823,90,46,54,2023-09-27 08:07:26
041-13-8619,376-22-7490,8,3,41,2023-09-26 01:43:45
125-91-4422,480-18-1748,2,35,86,2023-09-24 18:10:54
235-84-1972,534-39-9148,40,46,0,2023-09-25 08:14:09
703-66-0489,806-21-8101,32,1,27,2023-09-25 03:30:29
,560-42-3197,1,43,73,2023-09-28 16:32:41
040-75-8509,415-81-4105,21,2,70,2023-09-29 01:44:02
478-59-3018,088-98-4881,29,26,16,2023-09-25 01:47:54
439-15-9089,376-91-6901,25,45,19,2023-09-28 05:19:33
455-74-1526,187-32-7693,1,34,56,2023-09-24 07:43:39
404-11-7040,719-15-9674,-30,6,58,2023-10-02 19:57:32
522-07-9734,575-16-9336,99,37,4,2023-09-30 03:26:19
311-38-4742,429-02-9556,96,83,45,2023-09-25 12:58:15
096-37-2599,794-92-2067,20,1,35,2023-09-29 19:26:53
381-28-6332,439-11-7338,62,36,68,2023-09-29 10:36:04
,574-69-7722,14,65,92,2023-09-28 09:47:09
382-07-7452,051-84-0068,87,33,36,2023-09-27 22:50:00
488-80-9417,791-96-8835,74,31,94,2023-09-29 18:32:04
537-11-9999,183-62-3599,97,54,57,2023-09-28 05:06:16
647-56-7420,215-55-8181,39,4,56,2023-10-01 02:16:09
131-24-0342,782-76-6034,52,7,76,2023-10-03 00:57:41
107-32-8470,571-03-9184,54,69,45,2023-09-30 22:10:04
583-38-0583,178-82-3661,68,11,13,2023-09-25 20:33:54
276-73-0644,499-90-5186,81,24,52,2023-09-28 01:29:51
002-04-5623,175-76-9135,83,41,6,2023-09-23 15:55:10
,645-08-8915,84,61,99,2023-09-26 21:50:44
674-18-5500,071-58-4908,37,6,80,2023-09-26 07:11:55
352-72-4979,376-68-6604,-32,16,21,2023-09-26 19:32:08
621-36-0126,677-17-9732,62,17,22,2023-10-03 05:11:15
788-91-5550,255-90-6230,99,5,75,2023-09-30 01:07:36
483-78-8910,272-37-9093,-91,53,61,2023-10-03 04:23:17
339-31-5228,686-01-6795,73,23,48,2023-09-26 22:28:43
024-16-4997,202-28-7468,46,16,24,2023-10-02 10:13:31
799-63-5570,894-42-1096,-64,57,85,2023-09-24 08:13:22
,131-80-0880,76,0,57,2023-09-29 01:40:16
335-06-9159,786-72-9379,51,43,41,2023-10-01 07:58:32
536-04-2801,461-73-5080,44,4,72,2023-09-26 18:10:42
000-31-0786,130-83-5093,61,9,52,2023-10-01 00:25:38
823-75-3256,133-01-9552,1,46,64,2023-09-30 09:24:36
595-09-2793,529-01-2795,66,29,0,2023-10-02 09:27:23
285-93-3243,472-69-4187,10,42,4,2023-10-03 06:12:44
289-44-6285,586-08-8386,36,37,61,2023-10-02 12:28:24
780-65-4132,431-55-4213,-91,11,81,2023-09-24 01:33:38
039-90-8773,079-55-0666,-51,53,50,2023-09-23 19:37:07
721-60-9186,309-24-0494,48,25,29,2023-09-27 15:41:46
059-69-5217,670-82-0983,31,16,49,2023-09-24 08:24:34
045-44-0266,688-73-9447,41,32,88,2023-10-02 13:00:40
361-51-2007,516-29-1792,58,40,11,2023-10-01 05:26:58
811-86-2631,396-15-4927,76,29,24,2023-09-27 14:20:05
658-46-8995,255-49-4369,-86,27,74,2023-09-24 08:33:34
894-63-8100,031-76-3451,27,27,90,2023-09-27 00:09:46
375-57-8128,772-10-1456,-53,47,83,2023-09-28 15:43:50
597-87-8691,010-70-8007,90,5,61,2023-09-30 06:51:34
,480-33-0517,72,52,5,2023-10-03 02:17:25
292-61-3593,119-37-1848,-18,48,29,2023-09-24 04:10:30
426-66-0065,441-63-2087,79,4,68,2023-09-30 10:50:06
,150-33-6419,85,21,93,2023-09-29 07:07:06
261-81-0759,701-80-6077,82,26,55,2023-09-25 19:18:45
,466-65-9522,45,75,44,2023-09-30 20:26:05
636-86-2790,754-01-6095,62,31,61,2023-09-25 17:38:21
681-19-1348,875-70-3465,53,0,47,2023-10-02 11:44:51
421-23-4155,425-46-1177,79,4,91,2023-10-01 05:10:26
232-21-8297,715-99-1409,23,8,92,2023-09-30 23:33:04
,861-22-9733,90,37,11,2023-10-01 09:17:36
399-65-3639,262-74-4695,7,28,97,2023-09-24 11:19:06
155-97-2505,672-24-2116,80,2,32,2023-09-25 14:47:26
807-92-3946,021-61-5895,53,18,71,2023-09-25 14:29:50
229-93-1711,750-22-4586,33,12,19,2023-09-29 19:09:17
249-26-1323,453-74-6308,65,3,98,2023-10-03 06:57:55
,863-83-2604,70,26,10,2023-10-01 20:49:49
509-03-2649,359-34-8108,17,14,23,2023-10-02 03:37:35
651-63-4926,413-22-5839,17,13,16,2023-10-01 08:02:33
129-75-8047,682-23-2673,48,37,77,2023-09-27 06:27:37
357-30-4839,582-89-9859,19,3,93,2023-09-28 13:10:17
491-68-3994,807-51-0989,74,95,61,2023-09-30 13:05:24
407-47-8969,633-85-1286,93,8,68,2023-09-23 11:21:48
398-16-9828,022-52-4084,-5,65,6,2023-10-02 06:38:09
387-57-4187,573-25-2406,89,10,67,2023-09-24 23:57:29
474-96-8384,224-61-9187,98,15,25,2023-09-24 01:12:46
718-76-3421,677-62-7126,85,45,58,2023-09-27 01:10:01
244-61-5575,618-49-6156,97,7,31,2023-09-30 10:12:59
083-27-5722,651-79-3076,42,8,68,2023-09-30 12:58:30
748-10-0063,524-16-2647,91,0,60,2023-10-02 22:27:49
106-45-4334,093-34-9293,22,86,64,2023-09-23 20:59:51
287-61-3688,129-98-6911,50,43,26,2023-10-02 10:23:33
657-78-9626,338-32-6036,23,33,12,2023-09-30 13:14:49
445-64-7427,361-57-6158,15,49,76,2023-09-28 09:04:46
436-21-1208,520-12-6355,83,12,12,2023-10-01 10:51:54
380-87-4708,363-99-4594,92,21,64,2023-10-03 09:32:46
560-66-3333,097-48-9641,-41,40,18,2023-09-26 10:05:24
282-61-9710,226-27-9023,73,38,93,2023-09-24 10:24:10
065-16-2216,635-67-2033,83,96,62,2023-10-02 04:30:47
807-39-8530,198-53-1438,9,33,7,2023-09-27 08:56:49
,027-21-0719,76,22,57,2023-09-28 01:41:24
053-81-4432,554-52-9701,6,9,68,2023-09-26 16:03:33
598-73-6452,281-17-5120,2,8,99,2023-10-01 04:32:45
005-17-5630,766-65-5633,98,64,46,2023-10-03 08:55:35
385-66-0523,228-64-8043,16,19,74,2023-09-26 07:08:51
612-82-9987,344-11-1706,-29,18,34,2023-09-25 03:55:04
,241-72-5868,8,15,26,2023-09-27 19:42:54
679-04-6530,050-94-1527,7,17,99,2023-10-03 04:55:35
847-44-8720,131-20-8485,27,26,34,2023-09-25 14:05:45
259-36-0157,405-17-9375,79,32,4,2023-09-24 09:26:57
456-76-6831,819-62-0020,90,41,93,2023-09-24 14:25:48
105-91-1764,252-56-1187,80,34,14,2023-09-30 06:53:23
610-85-5957,477-32-4262,70,40,99,2023-09-28 15:51:51
219-52-0635,867-89-9167,-45,6,84,2023-09-24 14:49:39
404-15-3587,280-11-5689,73,28,35,2023-10-02 17:45:42
049-40-0070,059-97-6115,11,35,82,2023-09-26 01:10:05
775-25-9621,404-22-2472,36,14,55,2023-10-03 04:25:15
179-99-6085,691-73-9989,14,6,73,2023-10-01 23:45:05
100-67-2447,214-51-8914,9,8,38,2023-09-30 13:38:32
353-23-4114,035-73-1233,76,38,81,2023-09-27 21:27:08
492-41-8448,430-42-3293,5,43,97,2023-10-02 16:49:10
431-45-8803,344-91-0039,70,32,68,2023-09-27 23:49:06
174-79-9886,527-01-0117,16,27,13,2023-09-26 13:16:31
407-45-7496,896-03-8811,30,5,87,2023-09-27 06:44:55
432-25-9102,515-25-7916,65,27,38,2023-10-01 05:36:36
751-70-8477,271-93-8287,87,78,3,2023-09-24 03:41:03
,324-97-1863,1,34,98,2023-09-28 07:34:06
,083-58-0938,52,30,87,2023-09-27 14:09:52
734-09-9785,214-30-6787,0,11,88,2023-09-30 20:47:36
168-08-5205,318-47-8709,3,11,13,2023-10-02 19:11:26
,529-24-4220,71,36,83,2023-09-26 02:35:05
778-09-8348,787-74-6938,53,73,66,2023-09-26 12:12:41
108-63-5785,468-65-0681,97,23,91,2023-09-28 06:25:05
196-12-9037,230-25-4281,11,37,30,2023-09-28 05:47:58
586-34-9143,369-03-7521,32,0,67,2023-09-30 21:29:26
891-17-5838,688-85-1266,29,34,58,2023-10-02 16:27:41
789-71-5099,345-83-4825,92,39,78,2023-09-26 08:41:36
465-69-4879,348-58-4841,28,14,46,2023-09-23 21:50:14
645-28-8254,545-56-4525,34,5,29,2023-09-28 16:03:14
309-17-8423,438-68-0815,38,44,51,2023-09-26 05:36:03
373-68-1905,533-35-9674,75,47,53,2023-09-27 17:08:02
603-47-0689,108-64-6987,1,26,18,2023-09-24 11:05:55
718-21-0390,722-34-7098,73,29,10,2023-09-28 05:00:02
346-82-2205,062-04-5064,8,6,86,2023-10-01 02:18:36
788-27-6875,766-31-4261,93,8,68,2023-09-28 06:03:26
858-51-7031,559-74-9037,75,39,72,2023-10-03 09:44:21
471-53-0952,385-57-9271,12,27,74,2023-09-26 10:36:43
,770-14-8729,27,28,93,2023-09-30 03:38:09
,151-60-1502,51,45,89,2023-09-30 14:57:20
088-41-0788,881-32-8023,86,16,90,2023-09-24 04:48:46
594-68-5241,538-30-6752,96,41,67,2023-09-29 09:23:23
242-46-5686,092-48-8632,0,10,83,2023-09-23 20:07:31
484-33-7753,142-10-0741,-38,7,69,2023-09-29 15:12:20
402-03-7300,169-87-9473,37,22,61,2023-09-26 23:36:51
340-90-0057,511-04-0076,-33,7,70,2023-10-02 07:30:59
660-07-6650,269-83-4497,48,28,59,2023-10-02 05:50:23
178-70-4522,218-39-7091,36,7,74,2023-09-28 07:39:35
138-53-6395,723-28-6607,78,48,17,2023-09-28 08:32:41
,628-80-9272,46,49,51,2023-09-24 04:08:09
430-40-4593,113-74-4925,25,15,37,2023-10-01 04:54:32
660-56-8498,338-76-0893,19,4,36,2023-09-29 09:34:38
815-93-4548,004-66-4376,80,66,97,2023-09-23 12:10:29
008-95-6889,793-01-2166,68,24,68,2023-09-27 07:25:34
382-13-0795,334-50-5392,35,73,78,2023-09-24 03:46:56
147-61-8685,644-10-3361,74,5,11,2023-09-30 17:20:44
390-23-4214,118-25-3950,72,99,90,2023-09-28 18:54:37
441-04-5854,453-73-0717,43,19,36,2023-09-30 12:25:54
057-46-2521,784-12-8722,25,95,10,2023-10-01 09:13:19
752-49-0199,549-35-5459,-40,42,1,2023-10-01 23:46:05
495-90-6684,493-83-9406,50,17,68,2023-09-25 02:47:53
780-89-1338,569-21-7863,58,21,57,2023-09-28 23:46:20
858-71-9032,476-64-1442,3,5,35,2023-09-26 04:08:08
873-36-7482,134-98-5953,60,99,99,2023-09-28 20:04:18
828-74-5760,536-72-1897,38,12,50,2023-09-29 04:33:13
097-84-8150,392-89-1192,19,40,9,2023-09-29 13:45:19
411-91-8845,299-76-8955,98,37,6,2023-09-27 06:20:17
400-54-7680,428-12-9296,24,17,20,2023-09-27 05:00:23
521-99-0452,444-74-9529,80,29,29,2023-10-01 20:44:21
816-68-1848,676-11-1740,80,0,62,2023-10-02 15:33:52
331-28-5125,747-80-5121,95,18,88,2023-10-01 09:32:19
556-35-9904,596-93-5298,50,65,42,2023-09-24 00:02:43
111-16-7245,018-57-0442,16,71,32,2023-10-02 12:05:10
497-93-2349,724-54-1236,81,35,60,2023-10-01 07:36:04
257-06-0601,789-46-9776,85,11,49,2023-10-01 11:54:05
245-24-6404,233-37-4659,10,49,59,2023-09-29 21:49:22
658-89-1122,184-50-5067,59,9,40,2023-10-01 15:35:21
851-07-3941,554-97-8416,92,19,12,2023-09-27 10:04:30
349-84-1785,589-88-7123,11,41,83,2023-10-01 21:02:01
189-67-8277,275-97-5258,95,86,21,2023-09-30 15:43:35
345-34-4538,209-64-0117,5,37,23,2023-09-30 04:13:58
718-56-0280,869-72-4858,80,10,46,2023-09-27 18:26:49
272-78-3303,398-93-2657,79,37,19,2023-09-27 15:02:27
148-55-7738,406-21-6859,75,42,23,2023-09-24 08:43:07
358-46-6371,476-92-8093,85,44,16,2023-09-28 14:13:07
406-06-1751,801-28-6850,35,24,47,2023-09-30 02:41:52
262-15-2263,818-14-4177,51,13,1,2023-09-24 11:59:32
321-41-5139,076-48-1665,79,45,13,2023-09-28 11:49:43
559-46-6982,122-13-2203,29,42,44,2023-09-25 09:17:42
727-81-1091,705-96-8836,17,21,66,2023-09-28 13:29:27
548-69-5616,823-65-0993,43,5,98,2023-09-29 02:25:30
608-39-1483,393-27-1286,24,5,43,2023-09-26 20:15:30
207-91-9501,072-43-3314,3,2,24,2023-09-24 04:44:32
183-11-0822,122-27-2656,-12,45,37,2023-09-30 09:06:21
756-57-5929,716-09-4648,4,23,79,2023-09-26 18:20:14
805-57-2597,304-83-5634,81,26,99,2023-09-25 01:12:37
816-19-3869,707-84-0670,82,29,32,2023-09-29 02:19:58
430-78-6713,473-80-8011,86,49,55,2023-09-29 08:12:04
724-53-7843,752-76-9007,77,40,14,2023-09-27 16:55:49
233-79-0149,810-59-9098,79,33,18,2023-09-23 12:42:52
,503-85-6790,28,16,52,2023-09-25 14:27:29
,358-83-6189,90,0,75,2023-09-24 16:51:17
231-32-1611,353-47-2051,73,33,91,2023-09-29 00:33:04
747-82-7397,213-51-0009,-5,27,30,2023-10-02 15:23:57
135-82-2852,775-69-3864,-70,82,48,2023-09-29 02:27:23
596-97-8783,417-36-1555,84,12,50,2023-09-25 05:29:05
323-14-5625,274-60-6150,79,26,51,2023-09-29 11:28:44
493-71-4308,355-86-1629,82,49,68,2023-09-27 15:15:16
477-91-3037,335-16-7757,44,15,89,2023-09-26 08:04:40
899-90-5948,278-73-3381,1,48,23,2023-09-28 12:09:16
200-33-5973,567-59-2983,3,8,39,2023-10-02 02:11:51
818-60-7540,720-21-5443,98,13,22,2023-09-28 06:16:37
033-38-5361,713-77-2359,42,49,36,2023-10-02 18:51:34
082-80-2477,810-12-1989,69,35,45,2023-09-26 06:16:44
501-10-6858,392-18-9049,-59,0,92,2023-10-01 13:51:40
636-05-0528,601-25-8561,58,48,45,2023-09-27 10:38:14
887-37-7794,083-39-3404,56,9,12,2023-09-26 17:11:40
,725-13-6134,25,35,38,2023-10-01 03:21:27
179-37-9533,810-19-4612,83,26,3,2023-09-26 06:17:32
043-54-4082,407-64-6542,76,24,50,2023-09-23 13:41:14
,065-13-3297,84,0,51,2023-09-28 02:28:19
045-18-9849,146-28-8405,33,20,84,2023-09-26 21:53:56
385-01-0534,243-23-9760,73,11,89,2023-09-24 10:44:13
186-27-3815,127-38-1520,-36,39,31,2023-10-02 07:32:10
134-74-5895,837-60-2217,28,96,97,2023-09-27 13:38:51
838-87-9518,456-76-2561,0,12,10,2023-10-02 12:25:43
021-40-9621,350-06-5410,95,81,11,2023-10-01 05:01:06
175-07-6642,638-18-3962,26,24,14,2023-09-23 17:40:16
370-10-7232,806-81-0129,81,47,31,2023-09-24 23:00:23
